n_speakers,sample_rate,nfft,signal_duration,vad_treshold,pre_emph,frame_length,overlap,window,model,p,pre_processing_time,mfcc_time,model_time,microF1,macroF1
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,GMM,7,0.94,18.88,19.92,0.85,0.86
6,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,VQ,6,0.84,18.24,40.76,1.0,1.0
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,GMM,6,1.05,30.09,52.64,0.75,0.8
6,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,VQ,12,0.77,21.22,47.84,0.85,0.89
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,4,1.05,24.98,94.1,0.38,0.36
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,GMM,8,0.93,20.49,18.18,0.88,0.89
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,5,1.05,27.69,85.03,0.9,0.9
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,4,0.94,13.68,40.76,0.38,0.39
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,VQ,6,0.79,11.59,27.14,0.92,0.93
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,VQ,5,0.9,18.33,50.51,0.9,0.9
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,VQ,10,0.83,18.98,58.64,0.98,0.98
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,GMM,9,0.83,17.53,7.15,0.95,0.95
6,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,SVM,7,0.77,12.99,8.89,0.55,0.58
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,SVM,6,0.84,18.24,18.61,0.5,0.44
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,GMM,5,1.13,27.72,39.39,0.9,0.91
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,GMM,7,0.9,18.87,18.97,0.88,0.87
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,SVM,12,0.83,22.31,18.52,0.62,0.54
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,VQ,11,1.04,44.2,155.31,0.98,0.98
